idx,Mass,erM_upp,erM_low
1,18.2202554470617,1.11365175927355,1.05518680745808
2,14.2669981356599,0.732604556947519,0.730350643234338
3,15.1020751731524,0.905497461108811,0.725009206148323
4,11.7892331109024,0.636230272006657,0.590576813437371
5,69.1297294192306,20.0015663738779,15.3952994396301
6,13.9869699139867,0.882437620488812,0.657703896627856
7,18.4318825906021,1.91950706057609,1.18848442984721
8,11.2276717889239,0.577668263700481,0.550034668415668
9,13.9600026820144,0.864719082454338,0.649121635096037
10,32.2000186105618,6.1884522034571,4.43229101421236
11,20.8576202210918,3.2638130452259,2.11859368740191
12,11.5542461270214,0.602848134392952,0.58215372647118
13,18.3192378750086,1.82721738788698,1.13249345946759
14,13.5230696110606,0.712284613671152,0.650762865794963
15,12.3378372170294,0.658204446045689,0.622725061281614
16,13.0801724989298,0.65126518493039,0.649493193284188
17,12.2199589930837,0.654662409570456,0.604933743492484
18,10.8897578901308,0.574438570701863,0.535283098227676
19,16.7483899027888,0.996723206804298,0.963890470038585
20,21.546481577042,3.19067318045048,2.39365277663879
21,24.9899352713333,3.44601743278139,3.0887426287464
22,27.6559514693501,4.91871140808465,3.19125543684835
23,17.0753644871885,0.967557795469521,0.926076938916985
24,26.0289062588785,4.50354548108924,2.9057696937389
25,37.0252152263759,7.58111375221973,5.64915824857389
26,27.8285401670891,4.9656812660063,3.23809492055177
27,13.9716334246759,0.865298987326186,0.647262744652913
28,10.1326995886836,0.53371127845258,0.436070983244766
29,21.6853643251179,2.63433281403888,1.6651661609878
30,18.0358447286862,1.1131639979587,1.04118048488957
31,38.495279488866,8.61373137808407,6.2281835818109
32,32.7961457845857,6.34799320213189,5.19992318162769
33,13.1845450822434,0.653298190595622,0.655040094120444
34,24.1959367560422,3.07063543894404,3.2509248557559
35,12.8425917135094,0.652139576945091,0.651774404675571
36,12.4711859765467,0.655636003220996,0.635946007229281
37,30.1391535292667,5.75373423850725,4.33401207278682
38,28.3955838897003,5.37888926970927,3.50812221816836
39,15.4755284071591,0.923312313134755,0.874232960829152
40,15.2855966613854,0.901524203717807,0.877405871203678
41,16.9066193896768,0.999110381825819,0.986953303904468
42,28.7909623234553,5.44717108084108,3.70137692911016
43,15.7084239322945,0.960336535529081,0.882862281272761
44,25.5955755902592,4.11947092093854,2.95576474630351
45,26.3509312454686,4.61614810239835,2.89799675464533
46,17.6547762454176,1.51337953273733,1.00521378316486
47,30.6122180405765,5.9476538972057,4.53580869466362
48,16.1247341952652,0.998864171950913,0.892070051968831
49,12.4354579591731,0.661771546196881,0.634821860616366
50,19.6257986525516,2.76469213180323,1.66617971816602
51: B2,31.4935188112606,5.69127834804257,4.5861519678041
51: B3,20.4237978714881,2.91848845252964,1.88456927056219
52,14.8660908860053,0.823420874752696,0.824954923443286
53,18.4579102708659,1.17161142372864,1.09710300178702
54,17.318238189535,1.15246728144184,0.92303377338536
55,14.7493896785821,0.885264493957818,0.847970863205143
56,26.2372169960355,4.22465174290735,2.73974183146416
57,30.3486047892696,5.49650482357332,4.25008918989327
58: G2a,32.2114789147556,5.83263935413523,4.80515994308358
58: G2b,20.0080111972599,2.96136583790142,1.68833309782104
58: G2c,24.3024868911532,3.14686750584353,2.84153565562561
59: G3b,20.2385880715778,2.9427442244464,1.79305078155776
59: G3c,27.0148632476796,4.62518517376107,3.00620800816696
59: G4,72.2487598867926,19.3955893853955,15.322307198357
60: G3d,16.6695986977085,0.995255907335011,0.956894950633174
60: G5,43.5014450511566,8.72113464748598,6.96954487196609
61,26.9647995570883,4.12103891275541,2.61846650137925
62,12.3351287506196,0.657226898551489,0.620881736202215
63,9.88587497986922,0.493550329681728,0.46662670269459
64,10.1248700494013,0.537958270250998,0.436376994012202
65,49.3105232903087,14.1757910325903,9.01954651162787
66,12.2520445402436,0.660208266060554,0.615872190107051
67,16.9130834739315,1.10990395255349,0.898736928108083
68,17.166765864574,1.13747499232651,0.998002345005915
69,27.3938007143598,5.13107712403176,3.11768695285501
70,14.7586800369029,0.880943160480845,0.848426175899887
71,25.0611243074613,3.67433932559895,3.15401219527686
72,11.8643678837953,0.634404916869029,0.579151079193263
73,12.0058585538744,0.657745199985943,0.584426601383422
74,14.6965886065127,0.882628615111104,0.833522123338963
75,17.5081313050788,1.38166663890355,0.995540514658366
76,17.6411018289275,1.50141030746779,1.00161534668993
77,18.8551769727609,2.19700719571379,1.3744346741564
78,16.1361595094644,0.999453034932898,0.898301851034704
79,15.9938960350312,0.998447775838553,0.877233339472102
80,17.2597819578806,1.18416274240665,0.989989194859103
81,14.0769230253646,0.877694174124986,0.669464107128455
82,12.5208252861154,0.651233694263114,0.636526221338807
83,17.9353666661466,1.71699599695153,0.999105952622227
84,25.3652550765764,3.92589136358067,3.04438671526828
85,12.9074911044971,0.652808180627456,0.651289567767394
86,12.0081713077654,0.650822841124446,0.577747731310671
87,14.7118991607378,0.881064973723287,0.838419251511093
88,10.3691295744119,0.534122296008132,0.491795183153901
89,10.0160498390997,0.536991826820982,0.411094200038527
90,9.14229894480954,0.470157257544589,0.489387862305732
91,13.6894528689761,0.771079732152035,0.653206562899793
92,9.95181934084444,0.516612073202014,0.430698228256603
93,9.9584584728186,0.522768985049316,0.429249964140791
94,9.82774094518988,0.474565669365363,0.473076103460429
95,10.1742692219076,0.529240611835137,0.442837210213559
