,almaid,ClumpName,AGAL,peak_x_icrs,peak_y_icrs,radius_au,radius_pc,major_sigma,minor_sigma,position_angle,T,Mass,avir,bound,preproto
0,1,G015.20,015.203-00.441,18:19:52.61,-15.56.03.68,3603.86586767645,0.0174720347753323,1.39559935116848,1.165482969852,132.815168381584,20.1,5.24308954518128,0.0,non-detection,outflow
1,2,G015.20,015.203-00.441,18:19:52.67,-15.56.11.68,1411.94436741011,0.0068452994628597,0.528768859485476,0.472170395162114,75.3801370782155,20.1,0.619557898451599,0.0,non-detection,prestellar
2,3,G015.20,015.203-00.441,18:19:52.29,-15.56.11.08,2587.08265767515,0.0125425306660213,0.979402090804174,0.855833015457114,-142.480217989108,20.1,1.86177899014745,0.0,non-detection,prestellar
3,4,G015.20,015.203-00.441,18:19:52.13,-15.56.08.68,1956.01060169209,0.0094830070009562,1.05439090397225,0.454433366462758,-163.64085010434,20.1,0.806745958302842,0.0,non-detection,prestellar
4,5,G015.20,015.203-00.441,18:19:52.65,-15.56.08.48,893.806480266893,0.0043332960989775,0.36596638567113,0.273385360493104,100.194257270598,20.1,0.177487632049916,0.0,non-detection,prestellar
5,6,G015.20,015.203-00.441,18:19:53.84,-15.55.57.08,789.931448537555,0.0038296957338968,0.324896174729628,0.240526905515452,-174.23736543405,20.1,0.133659097301984,0.0,non-detection,prestellar
6,7,G015.20,015.203-00.441,18:19:53.65,-15.55.51.68,3276.84896129766,0.0158866120736668,1.2521120062666,1.07398724058853,167.568333214442,20.1,1.65388494284628,0.0,non-detection,prestellar
7,8,G015.20,015.203-00.441,18:19:52.39,-15.55.51.88,2584.76412880408,0.0125312901208539,0.97503257325727,0.858128181911624,84.1874343826817,20.1,1.12761197697581,0.0,non-detection,prestellar
8,9,G015.20,015.203-00.441,18:19:53.69,-15.55.56.48,864.669831186442,0.0041920376380186,0.509224930314286,0.183874036116089,178.713435162317,20.1,0.121486134512411,0.0,non-detection,prestellar
9,10,G015.20,015.203-00.441,18:19:53.22,-15.56.20.08,1740.22192319021,0.0084368339652936,0.681259970835964,0.556705937346886,47.86032512138030,20.1,0.407277587976031,0.0,non-detection,prestellar
10,11,G015.20,015.203-00.441,18:19:52.64,-15.55.59.28,952.261121385193,0.0046166921963625,0.445114878974471,0.255134652528539,92.505433431878,20.1,0.149550262862846,0.0,non-detection,prestellar
11,12,G015.20,015.203-00.441,18:19:51.85,-15.55.43.08,4830.28435408346,0.02341787938509,2.18283340505081,1.33861059537489,111.481662143609,20.1,1.93745664834549,0.0,non-detection,prestellar
12,13,G015.20,015.203-00.441,18:19:52.44,-15.55.56.48,1599.17870600418,0.0077530371520987,0.701830232354969,0.456342984112217,114.837627149794,20.1,0.277722592826179,0.0,non-detection,prestellar
13,14,G015.20,015.203-00.441,18:19:51.27,-15.55.54.68,4024.69493552351,0.0195122716703406,1.96070146500838,1.03462725494965,47.2090538109425,20.1,1.26816985033043,0.0,non-detection,prestellar
14,15,G015.20,015.203-00.441,18:19:52.83,-15.56.18.28,2040.26973423313,0.0098915068030994,1.22862235403091,0.424312880288347,-166.125743342237,20.1,0.350516022993651,0.0,non-detection,prestellar
15,16,G015.20,015.203-00.441,18:19:53.93,-15.55.44.68,1379.77869949199,0.0066893559041724,0.677259540911812,0.352040957965904,167.875356456524,20.1,0.207905717676061,0.0,non-detection,prestellar
16,17,G015.20,015.203-00.441,18:19:53.89,-15.55.43.08,1492.99329659223,0.0072382357599274,0.786303705772056,0.355021657065679,168.836276038573,20.1,0.207512886153475,0.0,non-detection,prestellar
17,18,G015.20,015.203-00.441,18:19:51.31,-15.55.48.28,2355.67727644674,0.0114206457190023,1.28922181815304,0.539055389123682,152.902076702911,20.1,0.4060613703688,0.0,non-detection,prestellar
18,19,G015.20,015.203-00.441,18:19:53.01,-15.55.45.88,3164.12923594387,0.0153401314238425,2.07637405460384,0.603854472399895,-154.587123532371,20.1,0.709130067326507,0.0,non-detection,prestellar
19,20,G015.20,015.203-00.441,18:19:53.43,-15.55.49.48,961.221893900023,0.0046601352474475,0.50291632418584,0.230081144727848,134.590809533735,20.1,0.082762185178517,0.0,non-detection,prestellar
20,21,G015.20,015.203-00.441,18:19:51.57,-15.55.59.28,2569.59130575958,0.0124577301989236,1.28373120331801,0.644144739377706,-153.381597235131,20.1,0.236683018675106,0.0,non-detection,prestellar
21,22,G015.20,015.203-00.441,18:19:52.60,-15.55.43.08,2409.85739223851,0.0116833183328018,1.29764546952723,0.560474792827896,-169.382428366117,20.1,0.310581157998302,0.0,non-detection,prestellar
22,23,G015.20,015.203-00.441,18:19:53.22,-15.55.59.48,1168.79427483103,0.0056664745484058,0.526454712239265,0.324970985519832,-177.911609760286,20.1,0.0628500765043803,0.0,non-detection,prestellar
23,24,G015.20,015.203-00.441,18:19:53.46,-15.56.05.28,2737.32341760969,0.0132709184247869,1.24791589819229,0.751962809144105,-154.5300439108,20.1,0.264626177343207,0.0,non-detection,prestellar
24,25,G015.20,015.203-00.441,18:19:53.21,-15.56.01.48,2101.27600360967,0.0101872735433714,0.965114256127825,0.572950265067095,174.302264444065,20.1,0.142812708621097,0.0,non-detection,prestellar
25,26,G015.20,015.203-00.441,18:19:52.90,-15.55.59.88,1323.57980537509,0.0064168959768614,0.700686255332806,0.313116619583187,177.273425132193,20.1,0.0684976428694534,0.0,non-detection,prestellar
26,1,G016.97,016.974-00.222,18:22:32.34,-14.16.02.58,3749.75134339038,0.0181793075203452,1.19464376830815,0.655108828643832,156.927295672292,12.8,5.15921206345687,0.448575562428166,bound,outflow
27,2,G016.97,016.974-00.222,18:22:31.04,-14.16.02.58,3135.61765629291,0.0152019033849942,0.807276017867618,0.677908512086334,145.941410304234,12.8,1.66866580652883,0.728512061606818,bound,warm
28,3,G016.97,016.974-00.222,18:22:31.38,-14.15.56.58,2375.30055625342,0.0115157820641875,0.966963408923325,0.324768602303803,-175.332259786137,12.8,0.861564694552487,1.20818431973217,bound,prestellar
29,4,G016.97,016.974-00.222,18:22:31.64,-14.15.56.38,1292.4520091247,0.0062659841620116,0.364335898997066,0.255195975952391,156.6337278087,12.8,0.324261007864063,0.0,non-detection,prestellar
30,5,G016.97,016.974-00.222,18:22:31.92,-14.16.07.18,3070.43499989194,0.0148858889490517,0.818706996091683,0.640941289561605,172.227294178978,12.8,0.871774798281172,0.0,non-detection,outflow
31,6,G016.97,016.974-00.222,18:22:31.74,-14.15.54.78,1408.93571728897,0.0068307131154557,0.498987725797157,0.221431514454792,162.488281749065,12.8,0.327303039437805,0.0,non-detection,prestellar
32,7,G016.97,016.974-00.222,18:22:30.75,-14.16.11.78,2603.71403436544,0.0126231618555727,0.784175081715925,0.481194290475386,75.3535896098041,12.8,0.609479894156607,0.0,non-detection,warm
33,8,G016.97,016.974-00.222,18:22:32.05,-14.15.53.38,1916.45627317912,0.0092912422048543,0.677303817740697,0.301829192042868,160.466621184243,12.8,0.436645825897477,0.0,non-detection,prestellar
34,9,G016.97,016.974-00.222,18:22:32.92,-14.15.58.58,5070.29463776007,0.024581482076424,2.14080432040184,0.668399870852025,124.6312308502,12.8,1.20840617744913,0.0,non-detection,outflow
35,10,G016.97,016.974-00.222,18:22:31.21,-14.16.04.38,2487.97157714662,0.0120620265881235,0.756855469809253,0.455223643893335,-177.659224349227,12.8,0.456614657962092,0.0,non-detection,prestellar
36,11,G016.97,016.974-00.222,18:22:32.60,-14.15.52.98,3668.58769193272,0.0177858150339904,1.35323392445868,0.553569135970863,-170.240143338021,12.8,0.596701109772958,0.0,non-detection,prestellar
37,12,G016.97,016.974-00.222,18:22:32.88,-14.16.06.78,2535.08675122779,0.0122904473979476,1.07838198130882,0.331711069103283,147.997273878915,12.8,0.392682526058149,0.0,non-detection,prestellar
