ID,Mcore,err_Mcore,Tcore,Size
222,5.64,2.82,15.4,6414
223,1.62,0.81,15.4,3463
224,2.28,1.14,15.4,5668
225,1.14,0.57,15.4,3341
226,0.87,0.44,15.4,2870
227,0.57,0.29,15.4,3784
228,9.47,4.73,15.0,5126
229,15.71,7.85,15.0,9307
230,3.39,1.69,15.0,4240
231,3.64,1.82,15.0,5509
232,1.50,0.75,15.0,2796
233,1.51,0.75,15.0,2896
234,0.68,0.34,15.0,1982
235,1.02,0.51,15.0,2549
236,1.52,0.76,15.0,3481
237,0.83,0.41,15.0,2461
238,2.16,1.08,15.0,4452
239,2.71,1.36,15.0,6545
240,0.44,0.22,15.0,2219
241,0.57,0.29,15.0,2591
242,0.53,0.26,15.0,2725
243,1.73,0.87,15.0,6373
244,0.53,0.27,15.0,2669
245,0.84,0.42,15.0,3675
246,0.64,0.32,15.0,3222
247,0.48,0.24,15.0,2970
248,0.58,0.29,15.0,3582
249,4.24,2.12,12.4,3638
250,11.34,5.67,12.4,7456
251,0.73,0.36,12.4,2284
252,0.99,0.50,12.4,3083
253,2.21,1.10,12.4,4987
254,0.54,0.27,12.4,2527
255,0.27,0.13,12.4,1781
256,0.44,0.22,12.4,2094
257,0.28,0.14,12.4,2159
258,0.20,0.10,12.4,1749
259,0.24,0.12,12.4,2494
260,0.15,0.08,12.4,1717
261,28.92,14.46,14.3,6867
262,5.44,2.72,14.3,4941
263,1.84,0.92,14.3,2848
264,0.61,0.30,14.3,2133
265,0.67,0.33,14.3,3047
266,0.49,0.25,14.3,2675
267,0.44,0.22,14.3,2690
268,0.49,0.24,14.3,4116
269,0.38,0.19,14.3,3717
270,5.05,2.52,16.0,4426
271,3.05,1.53,16.0,4903
272,0.70,0.35,16.0,1945
273,4.50,2.25,16.0,6129
274,0.34,0.17,16.0,1462
275,0.76,0.38,16.0,2785
276,0.22,0.11,16.0,1483
277,0.29,0.14,16.0,1828
278,0.47,0.24,16.0,3427
279,0.33,0.17,16.0,2487
280,0.24,0.12,16.0,2293
281,0.29,0.15,16.0,2502
282,0.16,0.08,16.0,2234
283,0.13,0.06,16.0,1799
284,0.24,0.12,16.0,2923
285,1.74,0.87,17.9,3358
286,0.25,0.13,17.9,1901
287,0.58,0.29,17.9,3130
288,0.33,0.17,17.9,2828
289,0.54,0.27,17.9,3261
290,0.17,0.09,17.9,2002
291,0.19,0.09,17.9,2158
292,0.32,0.16,17.9,2834
293,0.66,0.33,17.9,4131
294,0.18,0.09,17.9,1947
295,0.20,0.10,17.9,2292
296,0.15,0.07,17.9,1823
297,0.35,0.18,17.9,2903
298,0.16,0.08,17.9,2018
299,0.49,0.25,17.9,4336
300,0.59,0.30,17.9,4340
301,0.23,0.12,17.9,2673
302,0.30,0.15,17.9,3219
303,0.25,0.13,17.9,3132
304,0.12,0.06,17.9,1803
305,0.25,0.12,17.9,3001
306,0.11,0.05,17.9,1861
307,9.69,4.85,12.7,3617
308,6.42,3.21,12.7,3104
309,4.60,2.30,12.7,2987
310,4.12,2.06,12.7,3576
311,4.28,2.14,12.7,3461
312,1.55,0.78,12.7,2185
313,4.30,2.15,12.7,5305
314,1.15,0.57,12.7,2214
315,0.68,0.34,12.7,1705
316,3.43,1.72,12.7,5859
317,2.09,1.05,12.7,4135
318,3.81,1.91,12.7,6037
319,1.52,0.76,12.7,3917
320,1.02,0.51,12.7,3130
321,1.15,0.58,12.7,3802
322,1.31,0.65,12.7,4445
323,1.47,0.74,12.7,4310
324,0.47,0.23,12.7,2102
325,1.37,0.69,12.7,3968
326,1.07,0.54,12.7,3231
327,0.51,0.25,12.7,2249
328,0.59,0.29,12.7,2412
329,0.77,0.38,12.7,3408
330,0.46,0.23,12.7,2803
331,10.43,5.22,13.4,5199
332,7.80,3.90,13.4,4297
333,2.05,1.02,13.4,3217
334,0.24,0.12,13.4,1234
335,0.34,0.17,13.4,1489
336,0.76,0.38,13.4,3048
337,0.76,0.38,13.4,3640
338,0.19,0.09,13.4,1554
339,0.55,0.27,13.4,3101
340,0.23,0.11,13.4,1747
341,0.61,0.31,13.4,3179
342,0.37,0.18,13.4,2530
343,0.46,0.23,13.4,3697
344,5.42,2.71,16.0,2627
345,4.84,2.42,16.0,2450
346,5.53,2.77,16.0,3436
347,2.93,1.47,16.0,1845
348,2.99,1.49,16.0,2323
349,9.09,4.55,16.0,5890
350,7.58,3.79,16.0,5327
351,1.43,0.72,16.0,1947
352,1.51,0.76,16.0,2260
353,3.20,1.60,16.0,3892
354,4.21,2.11,16.0,4788
355,1.15,0.57,16.0,2095
356,2.44,1.22,16.0,2954
357,1.54,0.77,16.0,2511
358,2.08,1.04,16.0,4004
359,1.12,0.56,16.0,2476
360,1.64,0.82,16.0,3038
361,1.49,0.75,16.0,3749
362,4.67,2.33,16.0,6750
363,0.53,0.26,16.0,1689
364,0.49,0.24,16.0,1903
365,0.55,0.28,16.0,1995
366,0.77,0.39,16.0,2286
367,1.10,0.55,16.0,3086
368,2.45,1.23,16.0,5362
369,0.51,0.26,16.0,1991
370,3.27,1.64,16.0,6149
371,0.29,0.14,16.0,1412
372,1.04,0.52,16.0,2843
373,0.95,0.48,16.0,2947
374,0.94,0.47,16.0,2931
375,0.64,0.32,16.0,2480
376,0.54,0.27,16.0,2707
