ID,Mcore,err_Mcore,Tcore,Size
I09094-4803_3,3.36,1.68,30.0,2153
I09094-4803_4,2.94,1.47,30.0,3400
I09094-4803_5,2.98,1.49,30.0,4176
I09094-4803_6,2.22,1.11,30.0,4841
I09094-4803_7,1.80,0.90,30.0,8050
I09094-4803_8,0.75,0.37,30.0,1776
I09094-4803_9,0.53,0.26,30.0,2164
I09094-4803_10,1.01,0.50,30.0,3973
I10365-5803_1,0.48,0.24,100.0,998
I10365-5803_2,0.46,0.23,30.0,405
I10365-5803_3,0.29,0.15,100.0,823
I10365-5803_4,0.57,0.28,20.0,405
I10365-5803_5,1.18,0.59,30.0,1448
I10365-5803_6,0.14,0.07,100.0,405
I10365-5803_7,0.23,0.12,100.0,1328
I10365-5803_8,0.16,0.08,30.0,405
I10365-5803_9,0.16,0.08,100.0,1451
I10365-5803_10,0.08,0.04,30.0,405
I10365-5803_11,0.36,0.18,30.0,2203
I10365-5803_12,0.46,0.23,30.0,3026
I10365-5803_13,0.19,0.10,30.0,2577
I10365-5803_14,0.09,0.04,100.0,988
I10365-5803_15,0.56,0.28,30.0,3419
I10365-5803_16,0.09,0.04,100.0,788
I10365-5803_17,0.08,0.04,100.0,919
I10365-5803_18,0.08,0.04,20.0,405
I10365-5803_19,0.12,0.06,20.0,405
I10365-5803_20,1.33,0.66,30.0,5385
I10365-5803_21,0.33,0.17,30.0,3286
I10365-5803_22,0.48,0.24,30.0,2123
I10365-5803_23,0.04,0.02,30.0,405
I10365-5803_24,0.09,0.05,20.0,444
I10365-5803_25,0.37,0.19,30.0,3687
I10365-5803_26,0.41,0.20,30.0,2092
I10365-5803_27,0.04,0.02,30.0,405
I10365-5803_28,0.15,0.08,30.0,1391
I10365-5803_29,0.09,0.04,30.0,421
I10365-5803_30,0.22,0.11,30.0,1554
I10365-5803_31,0.23,0.11,30.0,918
I10365-5803_32,0.19,0.10,30.0,947
I10365-5803_33,0.14,0.07,20.0,479
I10365-5803_34,0.16,0.08,30.0,1732
I10365-5803_35,0.20,0.10,30.0,1577
I10365-5803_36,0.15,0.07,30.0,909
I10365-5803_37,0.11,0.05,30.0,1424
I10365-5803_38,0.06,0.03,30.0,727
I10365-5803_39,0.09,0.05,30.0,646
I10365-5803_40,0.27,0.14,30.0,2386
I11298-6155_1,17.61,8.80,100.0,3150
I11298-6155_2,25.47,12.73,100.0,3662
I11298-6155_3,9.18,4.59,30.0,3162
I11298-6155_4,6.98,3.49,100.0,3590
I11298-6155_5,11.59,5.79,30.0,4251
I11298-6155_6,3.62,1.81,30.0,1633
I11298-6155_7,3.47,1.73,30.0,2959
I11298-6155_8,3.26,1.63,30.0,2806
I11298-6155_9,2.54,1.27,30.0,3473
I11298-6155_10,7.51,3.76,30.0,9393
I11298-6155_11,1.89,0.94,30.0,2401
I11298-6155_12,1.23,0.61,30.0,1951
I11298-6155_13,5.35,2.67,30.0,16404
I11298-6155_14,3.33,1.66,30.0,3735
I11298-6155_15,7.84,3.92,30.0,5662
I11298-6155_16,1.44,0.72,30.0,2244
I11298-6155_17,1.64,0.82,30.0,2794
I11298-6155_18,2.82,1.41,30.0,2079
I11298-6155_19,2.54,1.27,30.0,4370
I11298-6155_20,2.83,1.42,30.0,3268
I11298-6155_21,1.94,0.97,30.0,1840
I11298-6155_22,1.87,0.94,30.0,3014
I11332-6258_1,0.43,0.21,30.0,239
