ID,Mcore,err_Mcore,Tcore,Size
J238.2838-54.6217,3.00,0.20,28.0,3708
J238.2903-54.6123,2.10,0.20,26.0,3230
J238.2972-54.6097,2.20,0.20,27.0,3216
J238.2868-54.6167,5.20,0.50,33.0,3850
J238.2891-54.6143,4.70,0.40,27.0,3816
J238.2894-54.6163,3.50,0.30,30.0,3246
J238.2801-54.6178,1.10,0.30,37.0,2656
J238.2811-54.6214,2.40,0.20,29.0,4586
J238.2935-54.6141,1.20,0.10,25.0,2946
J238.2960-54.6119,1.20,0.20,26.0,2854
J238.2884-54.6163,3.00,0.30,29.0,4250
J238.2947-54.6130,1.90,0.30,26.0,3300
J238.2657-54.6238,3.20,0.10,25.0,6710
J238.2866-54.6188,3.00,0.30,34.0,5706
J238.2967-54.6152,3.20,0.30,23.0,5046
J238.2946-54.6089,0.90,0.20,26.0,2728
J238.2890-54.6256,4.00,0.20,21.0,7460
J238.2903-54.6140,1.30,0.20,26.0,3978
J238.2938-54.6101,0.80,0.20,26.0,3140
J238.2856-54.6267,1.90,0.20,22.0,7320
J238.2859-54.6234,1.60,0.20,23.0,4282
J239.4992-53.9668,11.50,0.10,100.0,3442
J239.4978-53.9538,2.80,0.10,24.0,2998
J239.5017-53.9544,3.60,0.10,24.0,3632
J239.4942-53.9528,2.20,0.10,24.0,2744
J239.5210-53.9594,1.80,0.10,25.0,3088
J239.4815-53.9554,1.10,0.10,23.0,2880
J239.5135-53.9659,0.60,0.10,25.0,2696
J239.5146-53.9685,0.50,0.10,25.0,2808
J239.5001-53.9663,2.10,0.10,38.0,3966
J239.4980-53.9667,2.30,0.20,39.0,5118
J239.4965-53.9654,0.60,0.10,35.0,3416
J245.5468-50.0988,42.50,0.50,50.0,4402
J245.5356-50.1048,13.00,0.30,41.0,3392
J245.5284-50.1051,5.80,0.30,36.0,3368
J245.5461-50.0991,4.80,0.30,100.0,2930
J245.5285-50.1046,4.70,0.30,36.0,3020
J245.5370-50.1028,17.10,0.70,46.0,4462
J245.5283-50.1068,4.50,0.20,32.0,3528
J245.5357-50.1034,5.20,0.30,100.0,5016
J245.5271-50.1057,3.40,0.20,32.0,3550
J245.5296-50.1064,1.50,0.20,31.0,2638
J245.5270-50.1089,2.00,0.10,27.0,4748
J245.5312-50.1043,2.40,0.20,36.0,4532
J245.5170-50.1090,1.80,0.20,27.0,3164
J245.5474-50.0960,2.70,0.20,36.0,3760
J245.5168-50.1086,1.60,0.20,27.0,2796
J245.5354-50.1042,3.80,0.50,40.0,3404
J245.5508-50.0914,0.50,0.10,31.0,4314
J245.5475-50.0990,7.70,0.40,45.0,6006
J245.5480-50.0993,3.00,0.40,42.0,3892
J245.5497-50.0922,1.20,0.10,32.0,5382
J245.5175-50.1083,1.80,0.30,27.0,3614
J245.5308-50.1035,1.80,0.10,34.0,5048
J245.5223-50.1105,0.30,0.10,26.0,3066
J245.5165-50.1099,2.10,0.20,25.0,5684
J245.5493-50.0985,3.70,0.40,38.0,4842
J245.5531-50.0886,0.60,0.10,28.0,4754
J245.5496-50.0989,1.40,0.30,37.0,4272
J245.5472-50.0982,2.50,0.40,43.0,4420
J245.5426-50.1060,3.50,0.40,35.0,5666
J245.5516-50.0920,0.60,0.10,32.0,4572
J245.5358-50.1010,7.80,1.30,45.0,4372
J245.5332-50.0861,0.90,0.10,26.0,5642
J245.5394-50.1082,0.60,0.10,34.0,4140
J245.5292-50.1061,0.50,0.20,32.0,3286
J245.5555-50.1094,0.80,0.10,26.0,5472
J245.5265-50.0999,0.50,0.10,29.0,4062
J245.5321-50.1025,1.00,0.20,37.0,3148
J245.5095-50.1081,1.10,0.20,24.0,2666
J245.5339-50.1044,1.50,0.20,37.0,5244
J245.5157-50.1118,1.30,0.20,25.0,5220
J245.5171-50.1085,1.30,0.30,28.0,3170
J245.5145-50.1067,1.30,0.10,25.0,5068
J245.5488-50.1045,0.50,0.10,32.0,3500
J245.5564-50.1100,0.50,0.10,26.0,3668
J245.5546-50.1077,0.60,0.10,27.0,4664
J245.5313-50.1018,0.80,0.10,35.0,3202
J245.5584-50.1030,0.30,0.10,26.0,3476
J245.5267-50.1005,0.70,0.10,30.0,5254
J245.5326-50.0867,0.30,0.10,26.0,3082
J245.5356-50.1053,0.80,0.20,39.0,3550
J245.5363-50.1034,1.30,0.30,43.0,3062
J245.5246-50.1036,1.20,0.10,28.0,6256
J245.5473-50.1081,0.60,0.10,30.0,4598
J245.5264-50.1034,0.80,0.10,30.0,4478
J245.5475-50.0998,0.00,0.00,0.0,3688
J245.5456-50.0988,0.00,0.00,0.0,4268
J245.5467-50.0995,0.00,0.00,0.0,4038
J245.5467-50.1047,0.00,0.00,0.0,4116
J245.5338-50.1031,0.00,0.00,0.0,3554
J245.5458-50.1029,0.00,0.00,0.0,4098
J245.5422-50.1003,0.00,0.00,0.0,4786
J245.5464-50.1055,0.00,0.00,0.0,3204
J250.2936-47.1343,23.70,0.40,100.0,3622
J250.2936-47.1337,8.70,0.30,100.0,3884
J250.2949-47.1343,6.20,0.70,40.0,3786
J250.2923-47.1415,1.80,0.10,22.0,2998
J250.2956-47.1347,6.10,0.70,38.0,4228
J250.2914-47.1405,2.00,0.10,23.0,3146
J250.2795-47.1323,2.10,0.10,23.0,2972
J250.2928-47.1353,4.40,0.60,39.0,3480
J250.2944-47.1348,4.30,0.80,40.0,3894
J250.2841-47.1340,2.50,0.10,24.0,4010
J250.2948-47.1443,1.10,0.10,21.0,3112
J250.2930-47.1317,2.90,0.30,29.0,4988
J250.2952-47.1340,1.40,0.40,37.0,3014
J250.2921-47.1444,0.70,0.10,21.0,3008
J250.2886-47.1330,0.40,0.10,25.0,2842
J250.2946-47.1335,1.20,0.30,38.0,3390
J250.2879-47.1400,0.90,0.10,22.0,4110
J250.2789-47.1329,0.80,0.10,23.0,3468
J250.2868-47.1383,1.10,0.10,23.0,4148
J250.2898-47.1413,0.60,0.10,21.0,2724
J250.2913-47.1397,1.20,0.30,25.0,3524
J250.2914-47.1342,0.60,0.30,32.0,3882
