ID,Mcore,err_Mcore,Tcore,Size
205,0.53,0.23,9.6,7219
206,0.06,0.03,11.5,4744
207,0.85,0.25,10.2,6600
208,0.24,0.12,11.5,9488
210,0.11,0.04,14.3,6187
211,1.36,0.32,9.5,6600
212,0.80,0.35,8.7,4537
213,1.09,0.51,8.1,4744
214,0.04,0.04,13.2,2268
215,0.07,0.04,11.5,4744
216,0.09,0.05,11.5,3712
217,1.39,0.42,12.5,22689
218,0.14,0.07,11.5,8456
219,0.53,0.35,8.5,5981
220,0.20,0.10,11.5,7219
221,1.02,0.28,8.8,5981
222,0.43,0.19,10.1,6600
223,1.26,0.46,10.6,11963
224,0.46,0.15,13.2,13200
225,1.13,0.52,8.4,4744
226,0.28,0.14,11.5,11138
227,0.16,0.08,11.5,5362
228,0.52,0.26,11.5,10519
229,0.03,0.01,11.5,4331
230,0.16,0.10,16.3,10313
231,0.09,0.04,11.5,3093
232,0.16,0.10,12.4,7425
233,0.26,0.11,13.0,12788
234,0.28,0.20,10.3,6394
235,0.06,0.03,11.5,2268
236,0.05,0.02,11.5,4125
237,0.32,0.21,10.1,4537
238,0.07,0.03,11.5,4125
239,3.20,0.58,12.8,3506
240,1.36,0.68,11.5,16294
241,0.32,0.15,10.4,6394
242,0.40,0.71,9.1,3712
243,1.36,0.61,8.5,5981
244,0.13,0.06,11.5,4744
245,1.31,0.52,10.4,11550
246,0.53,0.17,10.1,5775
247,7.55,1.31,8.0,5775
248,0.09,0.05,11.5,5981
249,0.02,0.01,16.0,3712
252,0.32,0.08,11.2,4125
253,0.36,0.16,9.4,5981
254,0.10,0.05,11.5,3712
255,0.30,0.15,11.5,3919
256,1.13,0.61,7.6,7631
257,0.29,0.15,11.5,8456
258,0.35,0.21,10.3,4537
259,1.59,0.19,11.9,7219
260,0.14,0.07,11.5,6187
261,2.38,1.13,7.8,6600
262,0.10,0.05,11.5,3093
263,0.38,0.19,11.5,4950
264,2.53,0.55,10.3,11344
265,0.18,0.09,11.5,4331
266,0.73,0.37,11.5,6394
267,0.65,0.32,11.5,7425
268,0.06,0.03,11.5,3093
269,1.01,0.51,11.5,9075
270,0.64,0.46,8.8,3919
272,0.44,0.37,9.7,6600
273,0.26,0.21,9.6,3300
274,0.09,0.04,11.5,4125
275,0.12,0.06,11.5,3712
276,0.73,0.36,11.5,10725
277,0.16,0.10,11.1,5981
278,0.17,0.09,11.5,2475
279,0.06,0.03,11.5,3506
280,19.70,2.52,8.2,11138
281,5.16,0.92,8.3,3300
282,0.18,0.06,14.3,5156
283,1.63,0.35,11.2,4744
284,6.27,2.23,7.6,9488
286,1.04,0.70,8.3,5362
287,0.31,0.15,11.5,8250
288,0.29,0.15,11.5,3919
291,0.27,0.13,11.5,3712
293,3.33,1.13,7.6,4125
294,4.94,1.09,10.3,4744
295,4.75,1.77,8.4,15057
296,1.11,0.38,8.1,5362
298,0.22,0.11,11.5,4125
300,0.32,0.12,11.2,4125
301,0.26,0.13,11.5,7013
302,2.01,0.57,7.6,5981
303,1.01,0.28,9.2,6806
304,0.60,0.30,11.5,7013
305,0.27,0.13,11.5,4331
306,0.06,0.02,14.3,4950
307,0.44,0.28,10.5,7219
308,0.18,0.09,11.5,7425
309,1.67,0.62,9.4,7838
310,0.02,0.02,15.1,2268
311,0.09,0.05,11.5,6187
312,0.54,0.27,11.5,3919
313,0.02,0.04,18.3,5156
314,0.06,0.02,14.5,5362
316,0.14,0.07,11.5,4331
317,1.92,0.70,8.9,14851
318,0.06,0.03,13.2,3919
319,1.08,0.32,8.1,4537
320,0.54,0.31,9.5,7013
322,0.24,0.05,12.0,4125
324,0.22,0.11,11.5,8869
325,0.08,0.04,11.5,3919
327,0.10,0.07,12.0,6394
328,1.62,0.38,8.5,6600
329,2.65,1.32,11.5,7425
330,0.92,0.25,9.8,8869
331,0.05,0.04,18.4,4744
332,1.27,0.44,9.1,8456
333,0.33,0.16,11.5,6600
334,0.54,0.30,13.2,13407
335,0.05,0.02,14.1,5362
336,0.55,0.13,11.0,5775
337,0.18,0.09,11.5,3712
338,0.05,0.04,15.3,5156
339,0.68,0.28,9.3,5775
340,1.78,0.17,10.5,5362
341,0.19,0.14,9.8,4744
343,1.80,0.64,9.5,9488
344,0.04,0.02,17.3,6394
345,0.19,0.12,10.7,4125
346,0.19,0.09,11.5,7219
348,0.36,0.21,9.9,6394
350,0.19,0.07,14.4,8044
352,0.45,0.23,11.5,6187
353,1.58,0.85,8.0,6600
354,0.65,0.33,14.5,20213
355,0.48,0.24,11.5,13200
356,1.03,0.37,9.6,5362
357,1.20,0.55,9.0,8250
358,1.87,0.89,9.3,11344
359,0.10,0.03,13.9,5362
360,0.31,0.16,11.5,11344
361,0.58,0.13,10.6,4950
363,2.43,0.54,12.8,28877
364,1.97,0.52,8.9,7219
365,0.03,0.01,14.5,4744
366,0.65,0.17,9.6,5156
367,0.05,0.04,14.8,3919
368,0.24,0.12,11.5,4537
369,0.06,0.03,14.5,9281
370,0.37,0.18,12.2,12994
371,0.29,0.15,11.5,8456
372,1.96,0.83,9.3,10725
373,0.27,0.15,9.4,5156
374,0.14,0.06,12.2,4744
375,0.51,0.22,11.5,10932
376,0.19,0.17,10.4,3300
377,0.64,0.21,10.9,10725
378,0.56,0.28,11.5,10725
379,0.09,0.04,14.5,6187
380,0.13,0.06,11.5,6394
381,1.02,0.47,8.1,6187
382,0.77,0.14,11.5,12788
383,0.15,0.07,11.5,5775
384,0.61,0.34,8.7,5362
386,0.49,0.22,8.9,4950
387,0.12,0.12,11.3,5569
389,1.02,0.62,8.2,7425
390,0.07,0.04,11.5,4537
391,0.31,0.16,11.5,4125
392,0.38,0.19,11.5,8044
393,0.08,0.04,14.5,6187
394,0.43,0.15,11.8,10519
395,0.34,0.16,10.1,5981
396,0.16,0.09,13.4,7425
397,2.09,0.86,7.8,5569
398,0.16,0.07,11.5,4950
399,1.27,0.34,13.0,15882
400,0.09,0.10,11.4,4125
401,0.09,0.05,11.5,3919
402,0.09,0.03,16.5,3712
403,0.69,0.35,11.5,8663
404,0.27,0.08,15.1,5362
405,0.19,0.15,10.5,4537
406,0.29,0.14,11.5,10313
407,0.25,0.07,12.4,2475
408,0.12,0.06,15.1,6394
409,1.28,0.37,10.7,12582
410,0.33,0.09,17.1,16707
413,0.16,0.13,10.1,4950
414,0.45,0.22,11.5,10313
415,0.62,0.10,12.1,9281
416,1.23,0.14,11.8,4125
417,0.14,0.07,14.5,4744
418,0.32,0.12,11.5,4950
419,0.05,0.04,15.5,7631
420,4.93,0.30,11.3,4125
421,0.34,0.17,11.5,5362
422,0.12,0.05,13.3,4125
423,0.04,0.02,11.5,3093
424,0.05,0.02,22.1,3919
425,2.55,0.62,9.1,9694
426,0.38,0.10,13.9,8456
427,0.11,0.06,12.5,6187
428,0.61,0.32,9.4,6806
429,0.04,0.02,15.2,4125
430,3.55,1.54,7.2,8869
432,1.33,0.28,11.4,14438
433,11.46,1.95,10.3,3919
434,4.60,2.30,14.5,3919
435,3.04,1.52,14.5,3919
436,0.15,0.06,13.9,4331
437,0.05,0.03,14.5,4125
438,0.17,0.06,11.5,4331
439,0.38,0.08,16.4,3506
440,0.58,0.11,14.3,10932
441,0.26,0.11,16.6,4537
442,0.66,0.28,10.7,5569
443,0.02,0.01,16.4,2268
444,0.40,0.10,20.0,2475
445,0.54,0.17,9.9,6806
446,0.03,0.02,27.7,4331
447,4.41,2.20,14.5,4125
448,0.03,0.01,20.2,4537
449,0.13,0.06,14.0,7219
450,0.04,0.02,14.3,2475
451,0.37,0.07,12.1,2887
452,0.22,0.10,12.1,10725
453,0.10,0.03,21.5,3300
454,0.05,0.02,17.9,4125
455,0.33,0.02,32.1,11757
456,0.28,0.04,15.5,3300
457,0.06,0.03,12.7,3712
458,0.41,0.10,12.5,4744
460,0.45,0.18,11.4,4950
461,0.14,0.05,15.0,6187
462,0.75,0.63,11.1,8250
463,0.18,0.04,20.6,3712
464,0.42,0.10,15.3,6806
465,0.10,0.03,13.8,3506
466,1.44,0.39,11.4,7219
467,0.03,0.01,25.3,2681
468,0.36,0.04,16.5,4331
469,0.20,0.05,14.4,3712
470,0.13,0.08,12.6,5156
471,1.67,0.93,10.4,20626
472,0.04,0.03,16.2,6394
473,0.66,0.33,14.5,3919
474,0.31,0.15,10.3,6806
475,0.10,0.05,11.5,5362
476,0.23,0.05,14.7,3712
477,0.61,0.13,10.8,8663
478,1.11,0.27,11.2,3919
479,0.42,0.08,16.5,10519
480,0.05,0.03,14.5,4537
481,0.53,0.14,15.8,8250
482,0.19,0.09,13.6,3506
483,0.16,0.08,11.5,3712
484,0.67,0.16,11.6,4950
485,0.04,0.01,29.2,3093
487,0.65,0.05,19.7,3712
488,0.07,0.10,13.9,5981
489,0.09,0.05,14.5,4950
490,0.61,0.13,11.5,3919
491,0.90,0.06,18.4,3093
492,0.07,0.04,14.5,5156
493,0.07,0.04,12.4,3919
494,2.43,0.24,12.2,4950
495,0.42,0.14,12.5,7425
496,0.46,0.13,10.7,2268
497,0.34,0.18,10.2,6600
498,0.40,0.20,11.5,9281
500,0.13,0.07,14.5,10932
501,0.50,0.11,11.8,5775
502,0.37,0.18,11.5,11138
503,1.55,0.14,18.7,3506
505,0.41,0.17,9.8,6806
506,0.16,0.04,11.8,4331
507,0.22,0.11,11.5,4125
508,0.41,0.21,11.5,8869
509,0.06,0.03,25.7,3919
510,0.14,0.04,18.5,5775
511,0.08,0.04,13.7,4537
512,4.17,0.69,11.4,3506
513,0.13,0.07,20.0,5569
514,0.11,0.06,11.5,3919
516,0.44,0.09,12.4,3506
517,0.82,0.14,15.4,6187
518,0.51,0.06,18.1,3300
519,3.47,0.30,16.1,7838
520,0.95,0.47,11.5,16913
521,0.17,0.14,10.1,4125
522,0.27,0.17,9.7,3712
523,0.60,0.30,11.5,13613
524,0.03,0.02,20.0,3712
525,3.58,0.81,10.8,4537
526,4.05,2.03,14.5,4950
527,0.39,0.05,16.9,6187
528,0.19,0.03,14.7,2887
529,0.86,0.36,9.0,6600
530,0.47,0.19,14.0,20007
531,0.15,0.08,13.8,2681
532,2.05,0.62,11.5,4537
533,0.43,0.21,11.5,11757
534,0.40,0.20,14.5,4125
535,0.24,0.20,9.4,5775
536,0.24,0.07,13.0,7425
537,0.12,0.06,11.5,4950
538,0.04,0.02,14.5,5362
539,0.78,0.11,15.2,6600
540,0.26,0.05,13.6,5569
542,0.06,0.01,26.8,3093
545,1.16,0.15,11.8,4125
546,0.75,0.15,15.5,6187
547,2.87,0.65,10.9,5775
548,0.84,0.18,12.9,4950
549,0.07,0.04,17.0,4537
550,0.62,0.31,11.5,11963
551,0.27,0.14,10.7,5981
552,0.26,0.08,12.8,3506
553,0.01,0.01,29.4,4331
554,0.13,0.03,14.4,3919
555,0.86,0.43,11.5,7425
556,0.66,0.10,12.9,3093
557,0.22,0.05,14.7,3506
558,0.07,0.03,11.5,2268
559,0.34,0.20,9.1,4125
560,0.86,0.43,11.5,12169
561,0.23,0.12,11.5,6187
